AGMAT_NM_024758	598	297	405	306	682	233	344	242	244	441	287
AGRN_NM_198576	9190	15458	7800	24787	10439	8668	18939	38129	10224	7904	6401
AGTRAP_NM_001040194	8431	9249	6960	6056	10181	7730	6829	6219	8739	7402	4452
AGTRAP_NM_001040195	7656	8378	6303	5454	9150	7002	6111	5595	7848	6665	4034
AGTRAP_NM_001040196	9062	9993	7507	6552	10977	8317	7354	6762	9443	8008	4802
AGTRAP_NM_001040197	9150	10083	7558	6621	11062	8395	7437	6816	9543	8064	4844
AGTRAP_NM_020350	8519	9339	7011	6125	10266	7808	6912	6273	8839	7458	4494
AGT_NM_000029	98	205	37	106	57	2381	81	98	82	312	18
AHCTF1_NM_015446	5243	5055	3582	4559	8522	4918	3006	7767	5067	5209	4712
AHCYL1_NM_001242673	30616	50338	28871	45756	44115	38693	31680	38149	43340	36979	27683
AHCYL1_NM_001242674	31131	51414	29297	46483	44928	39394	32222	38833	44142	37566	28110
AHCYL1_NM_001242675	30444	49970	28688	45451	43848	38431	31453	37911	43083	36765	27517
AHCYL1_NM_001242676	30444	49970	28688	45450	43838	38431	31453	37911	43081	36765	27517
AHCYL1_NM_006621	30610	50332	28871	45751	44113	38691	31674	38142	43338	36976	27683
AHDC1_NM_001029882	4356	4139	2601	5948	5241	3016	3940	8482	4769	4246	4675
AIDA_NM_022831	22956	24954	19867	24065	35040	21854	14470	23948	21021	25128	21394
AIM1L_NM_001039775	8	0	3	0	0	0	0	4	7	0	2
AIM2_NM_004833	14	0	39	156	4	7	0	24	19	11	10
AJAP1_NM_001042478	80	2	980	24	148	96	11	358	78	30	66
AJAP1_NM_018836	106	7	1371	36	180	124	15	535	116	36	103
AK2_NM_001199199	23389	22117	19077	19136	24641	17288	15212	18377	22845	23395	15999
AK2_NM_001625	14804	13888	12542	12788	17958	10238	9978	11270	14100	15393	10350
AK2_NM_013411	23870	22516	19454	19516	25207	17629	15495	18739	23290	23905	16335
AK2_NR_037591	25233	24116	20521	20779	27028	18695	16520	19798	24666	25547	17317
AK2_NR_037592	16167	15488	13609	14051	19779	11304	11003	12329	15476	17035	11332
AK4_NM_001005353	8359	13255	1655	3058	5674	5440	4265	6530	16141	6550	3246
AK4_NM_013410	8305	13188	1640	3042	5633	5416	4232	6502	16029	6503	3228
AK4_NM_203464	8331	13230	1649	3053	5649	5435	4257	6526	16077	6530	3243
AK5_NM_012093	9790	21474	35410	42113	60018	39472	18663	48501	17933	42292	33067
AK5_NM_174858	10043	22022	36172	43089	61357	40342	19090	49403	18325	43251	33783
AKIRIN1_NM_001136275	15263	11285	9495	11683	12107	7494	7416	9544	12398	15247	8132
AKIRIN1_NM_024595	16899	12428	10486	12937	13472	8226	8246	10544	13669	16941	8989
AKNAD1_NM_152763	24	31	41	21	4	27	63	45	16	42	68
AKR1A1_NM_001202413	25571	20722	21611	35466	32526	24390	20298	23333	25985	31836	19648
AKR1A1_NM_001202414	26969	21824	22801	37265	34312	25757	21397	24530	27492	33625	20684
AKR1A1_NM_006066	26864	21749	22737	37169	34194	25642	21305	24448	27390	33469	20605
AKR1A1_NM_153326	25466	20647	21547	35370	32408	24275	20206	23251	25883	31680	19569
AKR7A2P1_NR_002796	274	290	179	201	425	243	191	379	334	267	167
